permit_number,permit_type_descr,permit_subtype_descr,date_entered,date_issued,construction_cost,address,city,state,zip,contact,ivr_tracking_number,purpose,lat,lon,category,type_subtype
2020032370,Building Residential - New,"Accessory Structure, Garage",2020-05-26,2020-06-04,20684.0,3817B  HILLTOP AVE,NASHVILLE,TN,37216,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3823336,"Construct 24' x 28' (672 sq. ft.) garage to rear of primary structure. THIS IS NOT A DADU, NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES. RESTRICTIVE COVENANT MUST BE FILED PRIOR TO ANY TRADE AUTHORIZATIONS. Minimum rear setback 3' and side setback 3'. Maximum height 1-story or 16'. POC: Wes Faulkner, 731.446.8129. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor�s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit.
No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.
Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",36.217873,-86.73350500000001,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Garage"
2020012074,Building Residential - New,Single Family Residence,2020-02-25,2020-06-03,212458.0,88  ANTIOCH PIKE,NASHVILLE,TN,37211,"MCKINNIS, SEAN",3762939,"Waiver Decision 5/12/2020: Approve with Conditions: Pay to the in lieu fund for the E/W portion and waive for N/S segment of frontage

To construct a single family residence with 1886sqft living space and 121sqft of porch and deck space.  94.7' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  PLEASE NOTE: PLANNING FAILED TO NOTE THAT SIDEWALKS ARE REQUIRED FOR THIS PROJECT.",36.100023,-86.718195,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020033167,Building Residential - New,Single Family Residence,2020-05-28,2020-06-03,185497.0,1114 W GROVE AVE  1,NASHVILLE,TN,37203,"CAPITAL CITY CONSTRUCTION, LLC",3825699,"to construct 1530Sf single family residence with 652SF porch. Master permit 2020003283.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.134823,-86.788341,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020033173,Building Residential - New,Single Family Residence,2020-05-28,2020-06-03,140760.0,1114 W GROVE AVE  2,NASHVILLE,TN,37203,"CAPITAL CITY CONSTRUCTION, LLC",3825708,"to construct 1161Sf single family residence with 474SF porch. Master permit 2020003283.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.134823,-86.788341,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020028162,Building Residential - New,Single Family Residence,2020-05-05,2020-06-03,245996.0,124B  DULUTH AVE,NASHVILLE,TN,37209,THE MC2 GROUP INC,3812921,"parent parcel is 91-5 parcel 158, is zoned R8, contains 8500 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex with 2029 sf living area and 220 sf porch areas.  units attached.  max allowed height is three floors 45' max allowed.  31.8' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.159925,-86.866692,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020033181,Building Residential - New,Single Family Residence,2020-05-28,2020-06-03,167311.0,1114 W GROVE AVE  4,NASHVILLE,TN,37203,"CAPITAL CITY CONSTRUCTION, LLC",3825722,"to construct 1380Sf single family residence with 700SF porch. Master permit 2020003283.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.134823,-86.788341,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020024993,Building Residential - New,Single Family Residence,2020-04-21,2020-06-03,425000.0,903  CARUTHERS AVE,NASHVILLE,TN,37204,LAYTON HOMES 2 LLC,3805950,"New Construction home; 2 story.  Plans submitted to MHZC and on agenda for 4/22 meeting.  MHZC must review application.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.125378000000005,-86.783778,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020028159,Building Residential - New,Single Family Residence,2020-05-05,2020-06-03,245996.0,124A  DULUTH AVE,NASHVILLE,TN,37209,THE MC2 GROUP INC,3812919,"parent parcel is map 91-5 parcel 158, is zoned R8, contains 8500 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit A of proposed horizonal property line regime duplex with 2029 sf living area and 220 sf porch areas.  units attached.  max allowed height is three floors 45' max.  31.8' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bill 2017-835.",36.159925,-86.866692,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020028643,Building Commercial - New,"Power/Gas Substatn, Hazardous (H1-H5)",2020-05-07,2020-06-03,2200000.0,320B  24TH AVE S,NASHVILLE,TN,37212,BURNS SERVICES INC,3814028,"Rejected Site Plan Review, none provided.

To construct a Cooling Station adjacent to an existing power house on Vanderbilt University Campus. The scope of work is as follows:
�         Provide structural foundations (concrete)
�         Provide structural steel platform (including stairs, ladders, and walkways) for new cooling tower 
�         The new structural steel platform is approximately two stories high
�         Unload and set new cooling tower (mechanical equipment) on new structural steel platform 
�         Install new piping and pipe supports; tie into existing piping at power house
�         Install electrical power to new cooling tower; tie into existing power at power house
�         Install new instruments and controls for new cooling tower
POC: Pamela Danzy 615-992-1400",36.146526,-86.80542,Commercial,"TYPE: Building Commercial - New SUBTYPE: Power/Gas Substatn, Hazardous (H1-H5)"
2020033187,Building Residential - New,Single Family Residence,2020-05-28,2020-06-03,185618.0,1114 W GROVE AVE  5,NASHVILLE,TN,37203,"CAPITAL CITY CONSTRUCTION, LLC",3825729,"to construct 1531Sf single family residence with 646SF porch. Master permit 2020003283.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.134823,-86.788341,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020027768,Building Residential - New,Single Family Residence,2020-05-04,2020-06-03,245996.0,122A  DULUTH AVE,NASHVILLE,TN,37209,THE MC2 GROUP INC,3812040,"parent parcel is map 91-5 parcel 139, is zoned R8, contains 8750 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit A of proposed horizonal property line regime duplex with 2029 sf living area and 220 sf porch areas.  units attached.  max allowed height is three floors 45' max. 31.8' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' site frontage.  for every 50' road frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.159744,-86.866725,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020027774,Building Residential - New,Single Family Residence,2020-05-04,2020-06-03,245996.0,122B  DULUTH AVE,NASHVILLE,TN,37209,THE MC2 GROUP INC,3812056,"parent parcel is map 91-5 parcel 159, is zoned R8, contains 8750 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex with 2029 sf living area and 220 sf porch areas.  units attached.  max allowed height is three floors 45' max.  31.8' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.159744,-86.866725,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020002082,Building Residential - New,Single Family Residence,2020-01-10,2020-06-03,418945.0,1311  LILLIAN ST,NASHVILLE,TN,37206,HUSEBY HOMES LLC,3748780,"Historic and MDHA to review/approve prior to permit issuance. Must conform with MHZC Permit 2019074216 and easements on parcel.
 Permit to construct 1311 Lillian Avenue, 2nd Residence on R6 Zoned Parcel with 3719 sq ft of living  and 660 sq ft of porches and decks�Must conform with MHZC Permit and all easements on property�*** For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the urban forestry approved tree list shall be planted on the subject property.  *Pursuant to Ordinance no. 2006-1263 of the Metropolitan Code of Laws, I (the holder on this permit) hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction and demolition waste shall be stored on the property in violation of any provision of the Metropolitan Code**Sidewalks ARE required for this project because this parcel is within the UZO. You are NOT eligible to contribute to the Pedestrian Benefit Zone in-lieu of construction.For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",36.173125,-86.74727,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020031553,Building Residential - New,Single Family Residence,2020-05-20,2020-06-03,217141.0,3607  HOGGETT FORD RD,HERMITAGE,TN,37076,BEAZER HOMES CORP,3821054,"To build an 1791 sq. ft. single family house with an attached 417 sq. ft. two car garage.  Plans to be submitted to Planning for SP approval.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.170452000000004,-86.627841,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020033180,Building Residential - New,Single Family Residence,2020-05-28,2020-06-03,224536.0,1114 W GROVE AVE  3,NASHVILLE,TN,37203,"CAPITAL CITY CONSTRUCTION, LLC",3825718,"to construct 1852Sf single family residence with 511SF porch. Master permit 2020003283.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.134823,-86.788341,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020012073,Building Residential - New,Single Family Residence,2020-02-25,2020-06-03,207501.0,90  ANTIOCH PIKE,NASHVILLE,TN,37211,"MCKINNIS, SEAN",3762938,"Waiver Decision Approve with Conditions: Pay to the in lieu fund for the E/W portion and waive for N/S segment of frontage
To construct 90 Antioch Pike with 1842sqft of living space and 142sqft of porches and decks.  94.7' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  PLEASE NOTE: PLANNING FAILED TO NOTE THAT SIDEWALKS ARE REQUIRED FOR THIS PROJECT WHEN NEW MAP AND PARCELS WERE CREATED.",36.099257,-86.717692,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020029411,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2020-05-11,2020-06-03,2000.0,1907  DAHLIA DR,NASHVILLE,TN,37210,"BURGESS, ROBERT DEAN",3815691,"TO PERMIT 10�X16� DETACHED SHED LOCATED TO REAR OF EXISTING RESIDENCE� �3� MINIMUM SIDE SETBACK� �3� MINIMUM REAR SETBACK� � MAXIMUM ALLOWED HEIGHT 16' TO PEAK� �NOT TO BLOCK OR OBSTRUCT ANY EASEMENTS ON PROPERTTY� �NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES� �

APPLICANT ACKNOWLEDGES APPLYING FOR THIS SELF-BUILDING PERMIT IN OWN NAME, & WILL ACT AS OWN CONTRACTOR ACCEPTING FULL RESPONSIBILITY FOR CODE COMPLIANCE, FOR HIRING & EMPLOYING INDIVIDUALS & HAS ULTIMATE RESPONSIBILITY FOR MY OWN WORK & FOR THE WORK OF OTHERS.  ACTING AS MY OWN GENERAL CONTRACTOR, I FURTHER UNDERSTAND THAT I MAY FORFEIT CERTAIN PROTECTIONS, WHICH MIGHT BE AVAILABLE TO ME THROUGH THE STATE OF TENN. GENERAL CONTRACTOR�S LICENSING PROCESS.  I FURTHER ACKNOWLEDGE THAT AS A SELF-BUILDING PERMIT HOLDER I AM RESPONSIBLE FOR REQUESTING ALL REQUIRED INSPECTIONS & COMPLETING ALL AUTHORIZED WORK IN COMPLIANCE WITH APPLICABLE ADOPTED CODES.  I FURTHER UNDERSTAND THAT SEPARATE PERMITS ARE REQUIRED FOR ANY PROPOSED ELECTRICAL, PLUMBING, & GAS/MECHANICAL WORK AND IS NOT PART OF THIS BUILDING PERMIT�",36.162124,-86.713832,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Shed / Storage Bldg"
2020027855,Building Residential - New,"Multifamily, Townhome",2020-05-04,2020-06-02,262848.0,1109B  SHARPE AVE,NASHVILLE,TN,37206,"TUDOR BUILDING GROUP, GP",3812244,"per master permit 2019077451, to construct a townhome residence with 2168 sf living area, 432 sf attached garage and 60 sf porch area.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.188965,-86.74494200000001,Residential,"TYPE: Building Residential - New SUBTYPE: Multifamily, Townhome"
2020033532,Building Residential - New,"Multifamily, Townhome",2020-06-01,2020-06-02,223445.0,2713D  TORBETT ST,NASHVILLE,TN,37209,TIMO6 LLC,3826724,"to construct 1843Sf single family residence with 395Sf garage and 126SF porch. Master permit 2020019960.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.157428,-86.817944,Residential,"TYPE: Building Residential - New SUBTYPE: Multifamily, Townhome"
2020031734,Building Residential - New,Single Family Residence,2020-05-21,2020-06-02,299827.0,436  RED SUNSET CT,BRENTWOOD,TN,37027,REGENT HOMES LLC,3821618,"Autumn Oaks Lot 015 (HARVEST GL) to construct 2473 SF single-family residence with 101 Sf porches and a garage of 472 SF ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code*. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. PUDR. 20' min front s/b; 5' min side s/b; 36.2' min rear s/b.",36.006834000000005,-86.69530400000001,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020027899,Building Residential - New,"Multifamily, Townhome",2020-05-04,2020-06-02,262848.0,1110  GREENWOOD AVE,NASHVILLE,TN,37206,"TUDOR BUILDING GROUP, GP",3812323,"per master permit 2019074451, to construct a townhome residence with 2168 sf living area, 432 sf attached garage and 60 sf porch area.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.190509000000006,-86.74422,Residential,"TYPE: Building Residential - New SUBTYPE: Multifamily, Townhome"
2020027874,Building Residential - New,"Multifamily, Townhome",2020-05-04,2020-06-02,262848.0,1100  GREENWOOD AVE,NASHVILLE,TN,37206,"TUDOR BUILDING GROUP, GP",3812286,"per master permit 2019074451, to construct a townhome residence with 2168 sf living area, 432 sf attached garage and 60 sf porch area.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.190796999999996,-86.745276,Residential,"TYPE: Building Residential - New SUBTYPE: Multifamily, Townhome"
2020025303,Building Residential - New,"Accessory Structure, Garage",2020-04-21,2020-06-02,33327.0,4706B  NEBRASKA AVE,NASHVILLE,TN,37209,SMITH HOMES LLC,3806607,"Construct a 690 sf detached garage on existing property with unfinished upstairs.  not to be used for living or commercial purposes.  UZO.  max allowed knee wall height is 16'.  10' min rear s/b; 3' min side s/b.  no demolition allowed this permit.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.143240999999996,-86.84370600000001,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Garage"
2020028040,Building Residential - New,Single Family Residence,2020-05-05,2020-06-02,249754.0,2601  BATAVIA ST,NASHVILLE,TN,37208,"JACKSON BUILDERS,LLC",3812551,"to construct a single family residence with 2060 sf living area and 200 sf porch areas.  corner lot.  28' min front s/b; 10' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  PUBLIC WORKS STAFF PLEASE NOTE:  SIDEWALKS ARE REQUIRED ALONG BATAVIA STREET AS SIDEWALKS EXIST.  IN LIEU OF FEE MAY BE APPLIED ALONG 26TH AVENUE FRONTAGE.",36.161362,-86.81638199999999,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020027893,Building Residential - New,"Multifamily, Townhome",2020-05-04,2020-06-02,262848.0,1106  GREENWOOD AVE,NASHVILLE,TN,37206,"TUDOR BUILDING GROUP, GP",3812314,"per master permit 2019074451, to construct a townhome residence with 2168 sf living area, 432 sf attached garage and 60 sf porch area.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.190776,-86.7452,Residential,"TYPE: Building Residential - New SUBTYPE: Multifamily, Townhome"
2020031729,Building Residential - New,Single Family Residence,2020-05-21,2020-06-02,2066.0,484  RED SUNSET CT,BRENTWOOD,TN,37027,REGENT HOMES LLC,3821606,"Autumn Oaks Lot 003 (Brookland II.D) to construct 2066 SF single-family residence with 339 Sf porches and a garage of 442 SF ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code*. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. PUDR. 20' min front s/b; 5' min side s/b; 36.2' min rear s/b.",36.007093,-86.695287,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
