permit_number,permit_type_descr,permit_subtype_descr,date_entered,construction_cost,address,city,state,zip,contact,ivr_tracking_number,purpose,lat,lon,category
T2020034785,Building Residential - New,"Accessory Structure, Garage",2020-06-04,,6114B  PENNSYLVANIA AVE,NASHVILLE,TN,37209,CITY LIMITS CONSTRUCTION,3830148,"to construct 367SF detached garage to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to eave line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.165592,-86.862341,Residential
T2020034779,Building Residential - New,Single Family Residence,2020-06-04,,6114A  PENNSYLVANIA AVE,NASHVILLE,TN,37209,CITY LIMITS CONSTRUCTION,3830130,"to construct 2250SF single family residence with 367Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 29.3 per avg. unit 1 of 2. lot coverage is 1328SF of max 3650SF lot coverage. not to be over any easements. Max height 3 stories or 25�1 .
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.165592,-86.862341,Residential
T2020034771,Building Residential - New,Detached Accessory Dwelling Unit,2020-06-04,,518 N 2ND ST,NASHVILLE,TN,37207,EASTEND CONTRACTING LLC,3830112,"to construct 624SF detached accessory dwelling units to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be sold separately.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.18049,-86.771778,Residential
T2020034780,Building Residential - New,Single Family Residence,2020-06-04,,6114B  PENNSYLVANIA AVE,NASHVILLE,TN,37209,CITY LIMITS CONSTRUCTION,3830137,"to construct 2250SF single family residence with 367Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 29.3 per avg. unit 1 of 2. lot coverage is 1328SF of max 3650SF lot coverage. not to be over any easements. Max height 3 stories or 25�1 .
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.165592,-86.862341,Residential
T2020034618,Building Residential - New,Single Family Residence,2020-06-04,,504A  FOUNDATION CT,NASHVILLE,TN,37209,"MCKINNIS, SEAN",3829614,"parent parcel is map 90-16 parcel 212, is zoned R10 and contains 11,326 sf lot area.  this permit to construct unit A of proposed horizonal property line regime duplex with  2,333sqft of living space and 419sqft of garage space.  units detached.  max allowed height is 43.95'.  min required distance between structures is 6' min with no bump outs.  51.3' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.149492,-86.8808,Residential
T2020034712,Building Residential - New,Single Family Residence,2020-06-04,,1105  GLENVIEW DR,NASHVILLE,TN,37206,MUSIC CITY BUILDERS,3829908,"New Construction of a 4525 sq ft Single family 4 bed 3 1/2 bath home main--1477 sf. upper level-- 1585 sf.  
loft level-- 860 sf. garage-- 603 sf.  total--3922 sf heated/cooled.  additional permits will be pulled for electrical, plumbing and HVAC.  20' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.164193,-86.751469,Residential
T2020034753,Building Residential - New,Single Family Residence,2020-06-04,,516  2ND ST,NASHVILLE,TN,37207,EASTEND CONTRACTING LLC,3830046,"to construct 2034SF single family residence. 5' min. side setback, 20' min. rear setback, front setback at 20.8' per avg. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.180361,-86.771791,Residential
T2020034397,Building Residential - New,"Accessory Structure, Carport",2020-06-03,,335  VALERIA ST,NASHVILLE,TN,37210,molly sehring,3828969,"to construct 696SF detached garage to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to eave line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.121448,-86.748517,Residential
T2020034307,Building Residential - New,Single Family Residence,2020-06-03,,91  44TH AVE N,NASHVILLE,TN,37209,POLSTON & POLSTON CONSTRUCTION INC,3828564,"To construct a new HPR single family residence with 1830 sq. ft. of living space, 524 sq. ft. garage, and 153 sq. ft. of porches and/or decks. Minimum: 20� street/front setback; 5� side setback(s); and, 20� rear setback. Maximum building coverage 45%. Minimum 6� between buildings. Must conform to all easements on property. Shall not exceed three stories with a maximum height of 45�. Height cannot exceed a ratio of 1.0 horizontal to 1.5 vertical. Individual single and two-family lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.",36.140699,-86.839065,Residential
T2020034469,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2020-06-03,,4252  POND CREEK RD,PEGRAM,TN,37143,elizabeth wood,3829189,"to construct 576SF pole barn on site. 10' min. side setback, 20' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 24� to eave line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.128098,-86.997933,Residential
T2020034557,Building Residential - New,Single Family Residence,2020-06-03,,3805  PIN HOOK RD,ANTIOCH,TN,37013,"NVR, INC. T/A RYAN HOMES",3829429,"TO CONSTRUCT A  2,281 SQ FT SINGLE FAMILY HOUSE WITH A 480 SQ FT ATTACHED GARAGE & A 159 SQ FT FRONT PORCH.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.047741,-86.591723,Residential
T2020034271,Building Residential - New,Single Family Residence,2020-06-03,,3431  MILBRIDGE DR,ANTIOCH,TN,37013,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3828471,"to construct a single family residence with 2125 sf living area, 1073 sf attached garage and 589 sf porches/sunroom areas.  parcel is zoned AR2A and contains 3.1 acres.  40' min front s/b; 20' min side and rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.",36.081962,-86.582399,Residential
T2020034101,Building Residential - New,Single Family Residence,2020-06-02,,308  SUNLINER DR,NASHVILLE,TN,37209,"MCDONALD, ROBERT BRANDON GENERAL CONTRACTOR",3828088,"to construct 1519SF single family residence with 120Sf porches. 5' min. side setback, 20' min. rear setback, rear unit of hpr 1 of 2. lot coverage is 900SF of max 6430SF lot coverage. not to be over any easements. Max height 3 stories or 23�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.150733,-86.88704,Residential
D2020033985,Building Residential - New,"Accessory Structure, Garage",2020-06-02,,61  ELBERTA ST,NASHVILLE,TN,37210,THE OUTBACK BUILDER INC,3827783,Build a detached 20x28 garage in the back right corner of lot. Garage will be built 3' from side and 3' from rear property line.,36.117787,-86.737231,Residential
T2020034047,Building Residential - New,Single Family Residence,2020-06-02,251878.0,512  ELGIN ST,NASHVILLE,TN,37211,"Francescon Construction, LLC",3825426,This is a scrape off and new build of single family home.  REJECTED: CONTEXTUAL SITE PLAN SUBMITTED DOES NOT HAVE SURVEYORS STATE SEAL.,36.100095,-86.744714,Residential
T2020034109,Building Residential - New,"Accessory Structure, Garage",2020-06-02,,425  MENEES LN,MADISON,TN,37115,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3828107,"to construct 1200SF detached garage to the rear of existing single family residence. 20' min. side setback, 20' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 24' to ridgee line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.218363,-86.656125,Residential
T2020034148,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2020-06-02,,206 S 11TH ST,NASHVILLE,TN,37206,alan roe,3828187,"to construct 192SF detached garage to the rear of existing single family residence. not to be over any easements. not to be used for living space or commercial purposes.
must comply with hcn2020027891
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.175191,-86.750206,Residential
T2020033983,Building Residential - New,Single Family Residence,2020-06-02,,1000F W TRINITY LN,NASHVILLE,TN,37218,"E3 CONSTRUCTION SERVICES, LLC",3827780,"Construct 1766 Sf single family residence with 420 Sf attached garage. Please see Master permit 2020023818. Not to be over any easements. Pursuant # 2006-1263 Metro Code of Laws, I (holder of permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.",36.206085,-86.811031,Residential
T2020033905,Building Commercial - New,"Community Education, Lecture Halls",2020-06-02,1.0,539B  METROPLEX DR,NASHVILLE,TN,37211,"LEWIS, CARLOS & SON HOUSE MOVERS",3827606,"to conduct foundation and move five (5) portable classrooms to LEAD SOUTHEAST HIGH SCHOOL CAMPUS. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.093129,-86.703167,Commercial
T2020033931,Building Residential - New,Single Family Residence,2020-06-02,,907B  FAIRWIN AVE,NASHVILLE,TN,37216,"BURKETT HOMES, INC",3827685,"TO CONSTRUCT UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 1,900 SQFT LIVING AREA�225 SQFT ATTACHED GARAGE AREA�192 SQFT PORCH/DECK AREAS� � UNITS DETTACHED� �6' MINIMUM DISTANCE BETWEEN UNITS... ...44.55� MINIMUM FRONT SETBACK� �5� MINIMUM SIDE SETBACK� �20� MINIMUM REAR SETBACK� �MAXIMUM ALLOWED HEIGHT IS 26.25 MEASURED FROM AVERAGE OF FRONT CORNERS TO PEAK� ...NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY� �

*** FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY� �

***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24� X 36� IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED� �",36.200002,-86.747285,Residential
T2020033925,Building Residential - New,Single Family Residence,2020-06-02,,907A  FAIRWIN AVE,NASHVILLE,TN,37216,"BURKETT HOMES, INC",3827659,"TO CONSTRUCT UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 1,900 SQFT LIVING AREA�225 SQFT ATTACHED GARAGE AREA�192 SQFT PORCH/DECK AREAS� � UNITS DETTACHED� �6' MINIMUM DISTANCE BETWEEN UNITS... ...44.55� MINIMUM FRONT SETBACK� �5� MINIMUM SIDE SETBACK� �20� MINIMUM REAR SETBACK� �MAXIMUM ALLOWED HEIGHT IS 26.25 MEASURED FROM AVERAGE OF FRONT CORNERS TO PEAK� ...NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY� �

*** FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY� �

***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24� X 36� IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED� �",36.200002,-86.747285,Residential
T2020034053,Building Residential - New,"Accessory Structure, Carport",2020-06-02,1400.0,3132B  CROSSWOOD DR,NASHVILLE,TN,37214,"CANAVAN, DANIEL & MARY",3827990,"TO INSTALL 11�X20� DETACHED CARPORT LOCATED TO REAR OF EXISTING RESIDENCE� �3� MINIMUM SIDE SETBACK� �10� MINIMUM REAR SETBACK� � MAXIMUM ALLOWED HEIGHT 16' TO PEAK� �NOT TO BLOCK OR OBSTRUCT ANY EASEMENTS ON PROPERTTY� �NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES� �

APPLICANT ACKNOWLEDGES APPLYING FOR THIS SELF-BUILDING PERMIT IN OWN NAME, & WILL ACT AS OWN CONTRACTOR ACCEPTING FULL RESPONSIBILITY FOR CODE COMPLIANCE, FOR HIRING & EMPLOYING INDIVIDUALS & HAS ULTIMATE RESPONSIBILITY FOR MY OWN WORK & FOR THE WORK OF OTHERS.  ACTING AS MY OWN GENERAL CONTRACTOR, I FURTHER UNDERSTAND THAT I MAY FORFEIT CERTAIN PROTECTIONS, WHICH MIGHT BE AVAILABLE TO ME THROUGH THE STATE OF TENN. GENERAL CONTRACTOR�S LICENSING PROCESS.  I FURTHER ACKNOWLEDGE THAT AS A SELF-BUILDING PERMIT HOLDER I AM RESPONSIBLE FOR REQUESTING ALL REQUIRED INSPECTIONS & COMPLETING ALL AUTHORIZED WORK IN COMPLIANCE WITH APPLICABLE ADOPTED CODES.  I FURTHER UNDERSTAND THAT SEPARATE PERMITS ARE REQUIRED FOR ANY PROPOSED ELECTRICAL, PLUMBING, & GAS/MECHANICAL WORK AND IS NOT PART OF THIS BUILDING PERMIT�",36.158418,-86.648678,Residential
T2020033605,Building Commercial - New,"Community Education, Lecture Halls",2020-06-01,1.0,5060  COLEMONT DR,ANTIOCH,TN,37013,"LEWIS, CARLOS & SON HOUSE MOVERS",3826862,"to move portable classroom #761 and conduct foundation work for COLE ELEMENTARY SCHOOL.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.058085,-86.699196,Commercial
T2020033748,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2020-06-01,,3735  BAXTER AVE,NASHVILLE,TN,37216,Travis Gates,3826809,"to construct a 10 x 15 detached storage building to rear of residence.  not to be used for living or commercial purposes.  corner lot.  10' min side street s/b; 3' min interior side s/b; 3' min rear s/b.  max allowed height is 16'.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.214532,-86.732646,Residential
T2020033534,Building Residential - New,"Accessory Structure, Garage",2020-06-01,,858  PRESTON RD,ANTIOCH,TN,37013,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3826730,to construct a 20 x 24 detached garage to the rear of residence.  not to be used for living or commercial purposes.  parcel is zoned AR2A and contains 5.2 acres.  max allowed height is 24'.  20' min side and rear s/b.,36.025833,-86.663022,Residential
T2020033648,Building Residential - New,Duplex,2020-06-01,,726  COPPER BRANCH RD,HERMITAGE,TN,37076,BEAZER HOMES CORP,3826923,"To build a 2023 sq. ft. single family house with an attached 396 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",35.666781,-87.494876,Residential
T2020033524,Building Residential - New,Single Family Residence,2020-06-01,,1733  21ST AVE N,NASHVILLE,TN,37208,R A R E HOMES LLC,3826686,"to build a 2328 sq ft of living space with uncovered front stoop.  remains single family residence.  5' min side s/b; 20' min rear s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.179313,-86.811665,Residential
